Site Name,Latitude,Longitude
CAR-007,33.03286,-117.23459
CAR-059,33.04367,-117.18725
CAR-059G,33.05101,-117.18612
CAR-070,33.12625,-117.20518
CAR-070E,33.12661,-117.20855
CAR-072,33.12017,-117.21019
CAR-072C,33.120469,-117.210565
CAR-072R,33.12213,-117.21315
CAR-072O,33.12516,-117.21554
CAR-072Q,33.120604,-117.216145
SDG-072,33.01911,-117.10662
SDG-072A,33.01929,-117.10633
SDG-084,33.01797,-117.11081
SDG-084J,33.0147,-117.1123
SDG-085,33.01868,-117.11538
SDG-085G,33.01667,-117.11621
SDG-085M,33.01645,-117.11512
SDG-287,33.0058622,-117.121401
SDR-036,32.84686,-116.87157
SDR-041,32.84002,-116.91325
SDR-064,32.86207,-116.94477
SDR-064A,32.862192,-116.944673
SDR-064B,32.863558,-116.94467
SDR-064C,32.862938,-116.944877
SDR-064D,32.86331,-116.944871
SDR-098,32.84115,-116.91602
SDR-127,32.84912,-116.88416
SDR-127B,32.85234013,-116.8822099
SDR-130,32.84653,-116.88677
SDR-203A,32.82871,-116.89487
SDR-204A,32.82871,-116.89489
SLR-095,33.233151,-117.14391
SLR-045,33.233193,-117.142252
SLR-045A,33.23319315,-117.1415966
SLR-045B,33.22163,-117.0975
SWT-019,32.6672494,-117.0218462
SWT-030,32.72663248,-116.9834604
SWT-030I,32.73152,-116.98302
SWT-068,32.75025448,-116.962135
SWT-162,32.74106814,-116.9185
SWT-233,32.71022831,-117.013316
SWT-235,32.75669752,-116.9196394
