Site,Measurement date,b1 (left),b1 right (if different),b2,h1,h2,c1,c2
MS4-CAR-007,5/5/2020,5.75,5.75,8,1,4,8.25,8
MS4-CAR-059,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS4-CAR-059G,5/5/2020,4,4,12,2,6,8.25,8
MS4-CAR-070,5/1/2020,4,4,12,2,6,13,15.5
MS4-CAR-070E,5/1/2020,5.5,5,15,2.000,7.5,7.5,5.5
MS4-CAR-072,5/1/2020,4,4,12,2,6,16.5,17
MS4-CAR-072C,5/13/2020,4,4,12,2.000,6,4.75,4.75
MS4-CAR-072R,5/13/2020,7.75,7.5,8,2,4,10.5,10
MS4-CAR-072O,5/13/2020,6,5.75,8.000,2.000,4,4,4.5
MS4-CAR-072Q,5/13/2020,6,6,8,2,4,4.75,5
MS4-SDG-072,5/5/2020,6,6,12,2,6,15.25,14.5
MS4-SDG-072A,5/12/2020,4,4,8,2,4,1.2,1
MS4-SDG-084,5/5/2020,4.25,4,12,2,6,10.75,10
MS4-SDG-084J,5/12/2020,3.75,3.5,12,2,6,7,7
MS4-SDG-085,5/5/2020,3.75,3.75,12,2,6,7.25,7.75
MS4-SDG-085G,5/12/2020,4,5.5,14,2,6,7,8
MS4-SDG-085M,5/12/2020,4,4,12,Not Applicable,6,Not Applicable,Not Applicable
MS4-SDR-036,5/8/2020,16,16,12,Not Applicable,6,Not Applicable,Not Applicable
MS4-SDR-041,5/8/2020,6,6,12,2,6,7,12
MS4-SDR-064,5/8/2020,36,36,10,Not Applicable,5,Not Applicable,Not Applicable
MS4-SDR-064A,5/8/2020,4.5,4.75,8,2,4,1,0.5
MS4-SDR-064B,5/8/2020,3.5,3,12,Not Applicable,6,Not Applicable,Not Applicable
MS4-SDR-064C,5/8/2020,7,6,12,Not Applicable,6,Not Applicable,Not Applicable
MS4-SDR-064D,5/8/2020,4,4,12,2,6,6.25,4.25
MS4-SDR-098,5/8/2020,10,10,9.75,1,5.25,12,12
MS4-SDR-127,5/8/2020,15,15,10,1,5,9.75,15.75
MS4-SDR-127B,5/8/2020,6.75,6.5,12,2,6,9.5,7.25
MS4-SDR-130,5/8/2020,9,9,12,2,6,4,4
MS4-SDR-203A,5/8/2020,10,10,12,2,6,8,10
MS4-SDR-204A,5/8/2020,4,4,12,1,6,7.75,7
MS4-SLR-045,5/1/2020,5,5,10,1,5,4.125,4.5
MS4-SLR-045A,5/1/2020,4,4,12,2,6,5.125,4.75
MS4-SLR-045B,5/1/2020,2.5,3.125,12,Not Applicable,6,Not Applicable,Not Applicable
MS4-SLR-095,5/1/2020,4,4,12,2,6,7,7
MS4-SWT-019,5/7/2020,4,4.25,12,2,6,7,7
MS4-SWT-030,5/7/2020,5.75,5.75,10.75,1.000,5.375,8.5,8.5
MS4-SWT-030I,5/7/2020,6.5,6.5,12,3.5,6,2.75,2.5
MS4-SWT-068,5/7/2020,28,87,8,Not Applicable,4,Not Applicable,Not Applicable
MS4-SWT-162,5/7/2020,9.5,8.5,8,2,4,8.5,9.25
MS4-SWT-233,5/7/2020,5.25,5,14.5,1,7.25,5,4.75
MS4-SWT-235,5/7/2020,21.25,20.75,11.5,Not Applicable,5.75,Not Applicable,Not Applicable
